                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1598,                  3.304,                 4.0381,                0.01519,                0.98736,                0.02206,                0.01209,                 2.1603,                  2.742,                 3.4021,               0.067825,               0.000325,               0.000325
                      2,                  2.159,                 2.3148,                 3.1587,                0.01475,                0.98736,                0.10421,                0.05796,                 2.1746,                 2.8416,                 3.0273,               0.034818,             0.00065182,             0.00065182
                      3,                 2.0874,                  2.162,                 2.9872,                0.11113,                0.69668,                0.22205,                0.04902,                 2.2057,                 3.7795,                 3.0282,              0.0018054,             0.00097203,             0.00097203
                      4,                 2.0117,                 2.2058,                 2.8912,                0.11716,                0.47077,                0.14356,                0.07281,                 2.0514,                  3.546,                 3.0291,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.965,                 2.1607,                  2.839,                0.22405,                0.34913,                 0.1862,                 0.0815,                      2,                 2.8232,                 2.9406,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.9401,                 2.1181,                 2.8036,                0.10252,                0.52449,                0.14343,                0.07142,                 1.9224,                  2.191,                 2.7709,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.9469,                 2.0778,                 2.7902,                0.17154,                0.21643,                0.12979,                0.07611,                 1.9079,                 2.4346,                 2.8506,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.9062,                 2.3057,                 2.7446,                0.10371,                0.56714,                0.18993,                0.09305,                 2.2296,                 2.3436,                 3.5626,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.8631,                 2.2024,                 2.7092,                 0.2099,                0.47709,                  0.197,                 0.1157,                 1.8649,                 2.0993,                 2.6906,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.8717,                 2.1277,                 2.7062,                0.18978,                0.35229,                0.18512,                0.10793,                   1.81,                 2.1795,                 2.6497,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.793,                 2.0465,                 2.6228,                0.21062,                0.63521,                0.25401,                0.15085,                 1.6577,                 2.0172,                 2.4981,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.7304,                 2.0935,                 2.5675,                0.27907,                0.32385,                0.25052,                0.13434,                 1.9763,                 2.2935,                 2.7878,               0.000901,               0.000901,               0.000901
                     13,                 1.7025,                 2.0946,                 2.5439,                0.20188,                  0.297,                 0.2042,                0.12672,                 1.8132,                 2.3409,                 2.6926,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6924,                 2.1856,                 2.5447,                0.28612,                0.26224,                0.22449,                  0.139,                 1.6579,                 2.4723,                 2.5595,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.6895,                 2.1714,                 2.5395,                0.31703,                0.51185,                0.29493,                0.16783,                 1.6178,                 2.1875,                 2.4674,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.6579,                  2.038,                 2.4997,                0.35078,                0.27911,                0.29096,                0.17963,                 1.7198,                 2.5094,                 2.5473,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6367,                 2.0178,                 2.4689,                0.20601,                0.38231,                0.25523,                0.12594,                 1.6295,                 2.0932,                 2.5505,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6058,                 2.0397,                 2.4372,                 0.3017,                0.50711,                 0.3262,                0.18709,                 1.6006,                  1.951,                 2.4393,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5908,                 1.8452,                 2.4287,                0.36005,                0.31122,                0.33206,                0.21128,                 1.5832,                 2.0711,                 2.4346,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5697,                 1.8404,                 2.4133,                0.23258,                0.50237,                0.19288,                0.11795,                 1.5713,                 2.2204,                  2.501,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.5706,                 1.7693,                 2.4149,                 0.4669,                0.63823,                0.52941,                0.34677,                 1.5645,                  1.848,                  2.447,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.5795,                 1.7143,                 2.4288,                0.54148,                0.50237,                0.61389,                0.38293,                 1.5916,                 1.7076,                 2.4328,               0.000802,               0.000802,               0.000802
                     23,                 1.5331,                 1.5823,                 2.3795,                0.94579,                0.46854,                0.55191,                0.37059,                 1.5723,                 2.2197,                 2.4179,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.5341,                 1.5641,                 2.3957,                0.85996,                0.58205,                0.74094,                0.49486,                 1.5337,                 1.8084,                  2.377,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.5475,                 1.5864,                 2.3896,                0.68172,                0.70382,                0.75057,                0.48034,                 1.5282,                 1.5777,                   2.36,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.5428,                 1.5338,                 2.3789,                0.63213,                0.69036,                0.69724,                0.44923,                 1.5111,                 1.5639,                 2.3441,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4953,                  1.443,                 2.3362,                 0.9165,                0.45656,                0.65353,                0.45023,                 1.5375,                 1.8738,                 2.3703,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.5415,                 1.5371,                  2.385,                0.54103,                0.62717,                0.57279,                0.40143,                 1.5237,                 1.6114,                 2.3698,              0.0007426,              0.0007426,              0.0007426
                     29,                  1.493,                 1.5312,                 2.3194,                0.73691,                0.69913,                0.79682,                  0.541,                 1.5122,                 1.4961,                 2.3387,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.4981,                 1.5531,                 2.3373,                0.83708,                0.58452,                0.78924,                0.56284,                 1.5149,                 1.7056,                 2.3589,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.4697,                 1.4352,                 2.3106,                0.80412,                0.56398,                0.75163,                0.53741,                 1.4872,                 1.4165,                 2.3104,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.4775,                  1.401,                 2.3225,                0.82164,                0.64044,                0.81461,                0.55702,                 1.5133,                 1.5743,                 2.3531,               0.000703,               0.000703,               0.000703
                     33,                 1.4577,                 1.3703,                 2.3001,                0.51226,                0.37125,                0.52036,                0.38411,                 1.4784,                 1.6421,                 2.3207,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.4556,                 1.3793,                 2.2881,                0.85656,                0.57547,                 0.7583,                0.52779,                 1.4762,                  1.472,                 2.2976,              0.0006832,              0.0006832,              0.0006832
                     35,                  1.473,                 1.4693,                 2.3111,                0.64813,                0.71248,                0.73899,                0.49925,                 1.4657,                 1.5755,                 2.3078,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4378,                 1.4949,                 2.2797,                0.62183,                0.57408,                0.65327,                0.46099,                  1.446,                 1.5884,                 2.2979,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.4378,                 1.4388,                 2.2983,                0.58964,                0.74882,                0.69392,                0.50424,                 1.4287,                 1.4922,                 2.2698,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.4208,                 1.3196,                  2.274,                0.69585,                0.75671,                0.79475,                0.55467,                 1.4908,                 1.4086,                 2.3343,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.4699,                 1.3925,                 2.2935,                0.64874,                 0.4613,                0.60919,                0.43257,                 1.4709,                 1.5911,                 2.3173,              0.0006337,              0.0006337,              0.0006337
                     40,                  1.477,                 1.4036,                 2.3148,                0.76286,                0.63349,                0.74546,                0.52151,                 1.4607,                 1.4206,                 2.2951,              0.0006238,              0.0006238,              0.0006238
