                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9633,                 2.1492,                 3.3079,                      0,                      0,                      0,                      0,                 2.1876,                 3.5911,                 3.0566,               0.067825,               0.000325,               0.000325
                      2,                  1.446,                 1.0489,                 2.4867,                      0,                      0,                      0,                      0,                 2.1616,                 4.5034,                 3.0089,               0.034818,             0.00065182,             0.00065182
                      3,                 1.1759,                0.80447,                 2.1772,                0.53925,                0.49605,                0.60188,                0.23389,                 2.5991,                 1.9929,                 5.1162,              0.0018054,             0.00097203,             0.00097203
                      4,                 1.0188,                0.67883,                 1.9271,                0.95053,                0.93523,                0.95369,                0.71711,                 1.1371,                 1.4091,                 2.2602,              0.0009703,              0.0009703,              0.0009703
                      5,                0.90816,                0.63802,                 1.7774,                0.95871,                0.93523,                0.95476,                0.77492,                 0.9175,                0.70005,                 1.8019,              0.0009703,              0.0009703,              0.0009703
                      6,                0.85264,                0.57963,                 1.6957,                0.97133,                0.96357,                 0.9562,                0.78704,                0.88576,                0.61069,                 1.7556,              0.0009604,              0.0009604,              0.0009604
                      7,                0.81552,                0.55045,                 1.6306,                0.97294,                0.95893,                0.96059,                0.79125,                0.88901,                0.53789,                 1.7397,              0.0009505,              0.0009505,              0.0009505
                      8,                0.79456,                0.53725,                 1.5897,                0.96358,                0.96133,                0.95328,                0.78012,                0.83161,                0.55333,                 1.6458,              0.0009406,              0.0009406,              0.0009406
                      9,                0.77976,                0.51617,                 1.5618,                0.96973,                 0.9617,                0.96343,                0.79497,                0.96477,                0.53332,                 1.7958,              0.0009307,              0.0009307,              0.0009307
                     10,                0.77264,                0.51981,                 1.5522,                0.96345,                0.96367,                0.95477,                0.81166,                0.71659,                0.56529,                  1.492,              0.0009208,              0.0009208,              0.0009208
                     11,                0.71843,                0.50551,                 1.4889,                0.96949,                0.95378,                0.96226,                0.80018,                0.82141,                 1.0924,                 1.5549,              0.0009109,              0.0009109,              0.0009109
                     12,                0.68476,                0.47497,                 1.4488,                0.96682,                0.96678,                0.96385,                0.82893,                0.71237,                 0.4933,                 1.4794,               0.000901,               0.000901,               0.000901
                     13,                0.68791,                0.46571,                 1.4425,                0.96974,                0.96201,                0.96938,                0.85105,                0.69316,                0.45656,                 1.4373,              0.0008911,              0.0008911,              0.0008911
